attendance_id,customer_id,check_in,check_out
1,11,2024-12-01 12:18:47.033022,2024-12-01 13:18:47.033022
2,19,2024-05-10 11:23:32.456231,2024-05-10 13:23:32.456231
3,19,2025-01-20 19:59:18.922034,2025-01-20 21:59:18.922034
4,19,2024-05-03 04:50:14.403053,2024-05-03 07:50:14.403053
5,5,2024-10-28 06:14:33.410696,2024-10-28 07:14:33.410696
6,12,2025-03-06 15:31:48.808680,2025-03-06 16:31:48.808680
7,18,2024-10-04 21:16:07.205444,2024-10-04 22:16:07.205444
8,16,2025-02-15 10:56:43.629434,2025-02-15 13:56:43.629434
9,1,2025-03-11 12:12:33.493638,2025-03-11 13:12:33.493638
10,5,2024-08-04 21:08:29.951262,2024-08-05 00:08:29.951262
11,2,2024-07-15 17:50:00.237887,2024-07-15 20:50:00.237887
12,15,2024-05-12 05:46:04.389301,2024-05-12 07:46:04.389301
13,12,2024-04-26 07:21:38.512228,2024-04-26 10:21:38.512228
14,7,2024-08-11 01:08:13.694917,2024-08-11 02:08:13.694917
15,10,2024-10-24 03:21:46.015946,2024-10-24 06:21:46.015946
16,17,2024-07-09 06:13:06.965410,2024-07-09 09:13:06.965410
17,12,2025-02-25 23:04:20.984800,2025-02-26 00:04:20.984800
18,12,2025-04-05 06:02:45.632762,2025-04-05 08:02:45.632762
19,13,2024-12-10 14:10:09.825156,2024-12-10 15:10:09.825156
20,20,2024-06-05 09:29:54.910394,2024-06-05 12:29:54.910394
21,6,2024-05-28 12:50:31.532357,2024-05-28 15:50:31.532357
22,17,2025-01-03 16:18:45.124113,2025-01-03 19:18:45.124113
23,5,2024-07-28 16:10:28.782680,2024-07-28 17:10:28.782680
24,12,2025-03-18 19:36:02.195138,2025-03-18 21:36:02.195138
25,18,2024-08-27 04:33:52.550326,2024-08-27 07:33:52.550326
26,20,2025-02-05 13:52:28.448758,2025-02-05 15:52:28.448758
27,11,2024-07-21 22:04:09.777925,2024-07-22 00:04:09.777925
28,16,2024-09-15 18:28:18.766736,2024-09-15 19:28:18.766736
29,6,2024-11-17 16:13:55.778185,2024-11-17 19:13:55.778185
30,14,2024-08-21 17:17:23.894378,2024-08-21 18:17:23.894378
31,16,2025-03-09 11:00:55.419806,2025-03-09 13:00:55.419806
32,19,2024-09-14 15:20:27.029616,2024-09-14 16:20:27.029616
33,5,2024-10-03 16:22:16.067150,2024-10-03 19:22:16.067150
34,8,2024-04-23 09:38:20.162374,2024-04-23 11:38:20.162374
35,20,2024-10-03 13:11:03.161681,2024-10-03 14:11:03.161681
36,1,2024-07-31 11:44:22.430988,2024-07-31 13:44:22.430988
37,8,2024-12-30 13:01:22.283326,2024-12-30 16:01:22.283326
38,13,2025-03-10 17:54:17.736679,2025-03-10 20:54:17.736679
39,3,2024-12-29 00:53:04.310221,2024-12-29 01:53:04.310221
40,14,2024-04-27 14:10:33.624398,2024-04-27 15:10:33.624398
