transaction_id,customer_id,amount,date
1,19,193,2023-11-10
2,11,164,2025-03-08
3,4,277,2023-07-28
4,13,137,2023-05-31
5,4,42,2024-07-18
6,4,146,2025-01-28
7,8,144,2023-12-30
8,17,188,2025-01-01
9,2,175,2024-11-06
10,1,101,2024-06-14
11,1,57,2024-08-08
12,19,136,2024-06-17
13,10,180,2025-04-14
14,16,137,2023-06-04
15,8,206,2024-04-05
16,18,64,2024-12-30
17,3,64,2024-12-28
18,11,173,2023-11-29
19,7,200,2023-12-26
20,8,189,2023-11-03
21,6,126,2023-07-28
22,15,120,2024-03-09
23,4,262,2024-07-19
24,17,245,2024-06-29
25,5,204,2024-12-31
26,7,99,2025-03-01
27,1,241,2024-08-30
28,7,100,2024-03-24
29,10,141,2023-09-19
30,16,182,2023-11-22
